description,categorie
"Les poubelles de tri sont mélangées et mal étiquetées.",DECHETS
"Un inspecteur fiscal demande des cadeaux pour réduire mes amendes.",CORRUPTION
"Le revêtement en bitume s'effrite sur tout le boulevard.",VOIRIE
"Un transformeur électrique fait des étincelles inquiétantes.",AUTRES
"Un commerçant a été menacé par des individus masqués devant sa boutique.",AGRESSION
"Des sacs poubelles éventrés attirent les rats près du supermarché.",DECHETS
"Un enseignant réclame des cours payants pour 'garantir' de bonnes notes.",CORRUPTION
"Les pavés sont arrachés sur la place du village, risque de chutes.",VOIRIE
"Des câbles téléphoniques traînent sur le trottoir depuis une semaine.",AUTRES
"Des bagarres éclatent régulièrement devant le centre commercial le soir.",AGRESSION
"Des déchets de chantier obstruent le passage piéton sur l'avenue Voltaire.",DECHETS
"Un agent municipal exige des frais illégaux pour une attestation d'urbanisme.",CORRUPTION
"Une bouche d'égout fracturée crée un trou profond dans la rue des Lilas.",VOIRIE
"Un panneau publicitaire mal fixé menace de tomber sur la chaussée.",AUTRES
"Un cas de harcèlement a été signalé dans le bus scolaire par des élèves.",AGRESSION
"Des restes alimentaires pourrissent devant le restaurant asiatique.",DECHETS
"Un recruteur public demande un paiement pour accélérer une embauche.",CORRUPTION
"Le pont piétonnier derrière la gare a des rampes cassées.",VOIRIE
"Un éclairage public défectueux crée des zones sombres près du stade.",AUTRES
"Des pigeons infestent les abords de la bibliothèque municipale.",AUTRES
"Le système de sonorisation du métro émet des grésillements intenses.",AUTRES
"Une odeur de gaz persiste dans les sous-sols de l'immeuble.",AUTRES
"Des racines d'arbre soulèvent le trottoir devant l'église Saint-Pierre.",AUTRES
"Un distributeur de billets délivre de faux billets dans le centre-ville.",AUTRES
"La signalisation lumineuse du passage à niveau fonctionne par intermittence.",AUTRES
"Des chenilles urticantes envahissent les aires de jeux pour enfants.",AUTRES
"Un kiosque à journaux abandonné bloque l'accès au parc.",AUTRES
"L'horloge publique affiche une heure erronée depuis 3 semaines.",AUTRES
"Des vibrations anormales se font sentir dans le quartier des affaires.",AUTRES
"Un drone non identifié survole régulièrement les jardins privés.",AUTRES
"Le chauffage est en panne dans l'école maternelle depuis une semaine.",AUTRES
"Des bouteilles cassées bloquent le trottoir",DECHETS  
"Des agents menacent de fermer mon commerce sans raison",CORRUPTION  
"Un nid-de-poule géant crée des embouteillages",VOIRIE  
"Des individus lancent des pierres sur les voitures",AGRESSION  
"Des déchets médicaux sont abandonnés près du centre de santé",DECHETS
"Un vol à l'arraché s'est produit à la station de tramway d'Agdal.",AGRESSION
"Les poubelles débordent près de la faculté des sciences à Agdal.",DECHETS
"Un inspecteur demande un pot-de-vin pour approuver mon dossier à la mairie de Rabat.",CORRUPTION
"Le trottoir est complètement défoncé Avenue Mohammed V près du tramway.",VOIRIE
"La fontaine à Agdal ne fonctionne plus depuis des mois.",AUTRES
"Des jeunes ont agressé un étudiant devant le campus universitaire d'Agdal.",AGRESSION
"Une accumulation de déchets bloque l'entrée du marché d'Agdal.",DECHETS
"Un fonctionnaire à l'hôpital Moulay Youssef réclame de l'argent pour accélérer un rendez-vous.",CORRUPTION
"La chaussée est inondée près de la station de tramway Agdal-Terminus.",VOIRIE
"Des nuisances sonores intolérables proviennent du café près de l'avenue Fal Ould Oumeir.",AUTRES
"Un pickpocket m'a volé mon portefeuille dans le tramway entre Agdal et Hassan.",AGRESSION
"Des ordures s'accumulent devant l'école primaire Almoqawama à Agdal.",DECHETS
"Un policier m'a demandé de l'argent pour éviter une contravention avenue Fal Ould Oumeir.",CORRUPTION
"Des nids-de-poule dangereux sur la route devant l'hôpital Moulay Youssef.",VOIRIE
"Des rats ont été aperçus près des restaurants d'Avenue de France à Agdal.",AUTRES
"Un groupe de jeunes menace les passants près de la station de tramway Nation.",AGRESSION
"Des déchets de construction bloquent le passage sur le boulevard Al Abtal à Agdal.",DECHETS
"Un agent municipal exige une commission pour accélérer mon permis de construire à Rabat.",CORRUPTION
"Le revêtement de la chaussée s'effrite complètement avenue Hassan II.",VOIRIE
"Les lampadaires ne fonctionnent pas la nuit dans le quartier d'Agdal.",AUTRES
"Une femme s'est fait arracher son sac à main près du marché central de Rabat.",AGRESSION
"Les conteneurs à déchets débordent devant le lycée Descartes.",DECHETS
"Un employé de la municipalité de Rabat demande un dessous-de-table pour traiter ma demande.",CORRUPTION
"La route est impraticable après les pluies près de la gare Agdal.",VOIRIE
"Une panne d'électricité récurrente affecte tout le quartier résidentiel d'Agdal.",AUTRES
"Des téléphones portables ont été volés à plusieurs personnes à l'arrêt du tramway Hassan.",AGRESSION
"Des détritus jonchent le sol autour de la faculté des lettres.",DECHETS
"Un médecin à l'hôpital Moulay Youssef exige des paiements supplémentaires non officiels.",CORRUPTION
"Les pavés sont délogés sur la place centrale d'Agdal, risque de chute.",VOIRIE
"Le bruit du générateur d'un chantier perturbe les cours à l'école primaire.",AUTRES
"Un chauffeur de taxi a été agressé par des clients devant la gare de Rabat-Ville.",AGRESSION
"Des montagnes de déchets bloquent l'accès à la bibliothèque nationale.",DECHETS
"Le directeur de l'urbanisme refuse de signer les documents sans paiement supplémentaire.",CORRUPTION
"Un effondrement partiel de la chaussée sur l'avenue Mohammed VI.",VOIRIE
"La climatisation est en panne à la poste centrale d'Agdal depuis deux semaines.",AUTRES
"Des vols à répétition se produisent à proximité de l'université Mohammed V.",AGRESSION
"Des sacs poubelles éventrés sur l'avenue Allal Ben Abdellah.",DECHETS
"Un douanier au port de Rabat exige de l'argent pour libérer ma marchandise.",CORRUPTION
"Le trottoir est complètement défoncé devant l'école Hassan II à Agdal.",VOIRIE
"Des vendeurs ambulants bloquent l'accès aux commerces avenue de France.",AUTRES
"Des personnes se sont fait agresser en attendant le tramway à la station Bibliothèque Nationale.",AGRESSION
"L'accumulation de déchets près de la mosquée d'Agdal attire des animaux errants.",DECHETS
"Un policier m'a demandé de l'argent pour récupérer mes papiers confisqués.",CORRUPTION
"Des travaux inachevés rendent la rue impraticable près du lycée technique.",VOIRIE
"Le réseau mobile ne fonctionne plus correctement dans le quartier d'Agdal depuis une semaine.",AUTRES
"Des jeunes ont vandalisé plusieurs voitures garées près du stade Moulay Hassan.",AGRESSION
"Des déchets hospitaliers non traités ont été trouvés près de l'hôpital Moulay Youssef.",DECHETS
"Un fonctionnaire à la préfecture de Rabat demande des bakchichs pour traiter les dossiers.",CORRUPTION
"Le passage souterrain près de la gare est inondé et impraticable.",VOIRIE
"Les sirènes d'alarme d'un bâtiment se déclenchent sans raison à Agdal.",AUTRES
"Un étudiant a été agressé et volé devant la résidence universitaire.",AGRESSION
"Les poubelles débordent autour du jardin public d'Agdal.",DECHETS
"L'inspecteur des travaux exige de l'argent pour approuver mon chantier.",CORRUPTION
"La chaussée est complètement dégradée avenue des FAR à Rabat.",VOIRIE
"Des odeurs nauséabondes émanent des égouts bouchés près du marché central.",AUTRES
"Des bagarres éclatent régulièrement à la sortie du lycée Hassan II.",AGRESSION
"Des déchets encombrants bloquent le trottoir avenue Mohammed V.",DECHETS
"Un agent administratif réclame une somme pour accélérer mon passeport.",CORRUPTION
"Les nids-de-poule rendent dangereuse la circulation boulevard Al Massira.",VOIRIE
"L'eau est coupée régulièrement sans préavis dans le quartier résidentiel d'Agdal.",AUTRES
"Un chauffeur de bus a été agressé par des passagers à l'arrêt principal d'Agdal.",AGRESSION
"Des déchets de restaurant s'accumulent derrière les cafés de l'avenue de France.",DECHETS
"Un fonctionnaire municipal demande des pots-de-vin pour délivrer des certificats.",CORRUPTION
"La piste cyclable est endommagée et dangereuse près du tramway.",VOIRIE
"Des graffitis obscènes couvrent les murs de l'école primaire du quartier.",AUTRES
"Des vols de téléphones portables se multiplient dans le tramway aux heures de pointe.",AGRESSION
"L'aire de jeux pour enfants est jonchée de détritus au parc d'Agdal.",DECHETS
"L'agent immobilier municipal exige une commission illégale pour l'enregistrement.",CORRUPTION
"Le pont piétonnier près de la faculté présente des fissures inquiétantes.",VOIRIE
"Des nuisances sonores proviennent des travaux nocturnes non autorisés.",AUTRES
"Des agressions verbales récurrentes contre les femmes près du centre commercial.",AGRESSION
"Les conteneurs de tri sélectif débordent depuis des semaines à Hay Riad.",DECHETS
"Un responsable scolaire demande de l'argent pour inscrire mon enfant à l'école.",CORRUPTION
"La signalisation routière est absente sur le boulevard principal d'Agdal.",VOIRIE
"Des chiens errants agressifs près de l'école primaire inquiètent les parents.",AUTRES
"Des voyous harcèlent les étudiantes à la sortie du campus universitaire.",AGRESSION
"Des déchets plastiques obstruent les canalisations après les pluies.",DECHETS
"Un inspecteur de salubrité exige des paiements pour ne pas fermer mon restaurant.",CORRUPTION
"Les travaux de voirie sont abandonnés depuis des mois avenue Hassan II.",VOIRIE
"Les antennes relais émettent des bruits perturbants jour et nuit.",AUTRES
"Un chauffeur de taxi a été menacé par un groupe de jeunes à la gare d'Agdal.",AGRESSION
"Des déchets électroniques ont été déversés près du lycée technique.",DECHETS
"Un agent du cadastre demande des paiements supplémentaires pour traiter mon dossier.",CORRUPTION
"Le trottoir s'est effondré devant l'entrée de l'hôpital Moulay Youssef.",VOIRIE
"Des cables internet pendent dangereusement bas sur l'avenue principale.",AUTRES
"Des vols à l'étalage se multiplient au marché central de Rabat.",AGRESSION
"Des déchets de construction bloquent l'accès à l'immeuble résidentiel.",DECHETS
"L'agent municipal exige un bakchich pour délivrer un certificat de résidence.",CORRUPTION
"Les dos d'âne sont trop hauts et endommagent les véhicules avenue de France.",VOIRIE
"Une forte odeur d'égouts envahit tout le quartier d'Agdal après la pluie.",AUTRES
"Des jeunes lancent des pierres sur les voitures près du stade municipal.",AGRESSION
"Des poubelles renversées sur le trottoir devant la faculté de médecine.",DECHETS
"Un fonctionnaire à l'état civil demande de l'argent pour accélérer ma demande.",CORRUPTION
"La chaussée s'est affaissée devant l'entrée du parking souterrain d'Agdal.",VOIRIE
"Les feux de circulation sont en panne depuis trois jours au carrefour principal.",AUTRES
"Un étudiant s'est fait voler son ordinateur portable à la bibliothèque universitaire.",AGRESSION
"Des sacs poubelles abandonnés attirent les chats errants près du tramway.",DECHETS
"Un agent de police demande de l'argent pour annuler un procès-verbal.",CORRUPTION
"Le passage piéton est complètement effacé devant l'école primaire.",VOIRIE
"Les haut-parleurs de la mosquée sont trop forts et perturbent le voisinage.",AUTRES
"Une femme a été harcelée par un groupe d'individus près de la station de tramway Nation.",AGRESSION
"Les déchets s'accumulent dans le canal d'irrigation à côté du jardin public.",DECHETS
"Un employé municipal exige un pot-de-vin pour délivrer un permis de stationnement.",CORRUPTION
"Des fissures dangereuses sont apparues sur le pont d'Agdal après les pluies.",VOIRIE
"Des travaux bruyants se poursuivent tard dans la nuit près des résidences.",AUTRES
"Des téléphones ont été volés dans les salles de classe du lycée Hassan II.",AGRESSION
"Des déchets médicaux non traités trouvés près de la clinique privée.",DECHETS
"Un inspecteur des impôts demande des paiements personnels pour réduire ma taxe.",CORRUPTION
"La route principale vers l'université est impraticable après les travaux.",VOIRIE
"Les climatiseurs des commerces créent des flaques d'eau dangereuses sur le trottoir.",AUTRES
"Un commerçant a été menacé pour payer une protection par des individus.",AGRESSION
"Des déchets industriels déversés près du parc d'Agdal.",DECHETS
"Un agent administratif refuse de traiter mon dossier sans dessous-de-table.",CORRUPTION
"Le revêtement de la chaussée se dégrade rapidement après les récents travaux.",VOIRIE
"Des infiltrations d'eau endommagent la bibliothèque municipale d'Agdal.",AUTRES
"Des pickpockets opèrent dans le tramway aux heures de pointe.",AGRESSION
"Des ordures s'accumulent autour des arrêts de bus à Agdal.",DECHETS
"Un responsable de l'urbanisme exige des paiements pour accélérer mon permis.",CORRUPTION
"Les plaques d'égout manquantes créent un danger sur l'avenue principale.",VOIRIE
"Des vibrations anormales sont ressenties lors du passage du tramway.",AUTRES
"Des vols fréquents sont signalés dans le parking du centre commercial.",AGRESSION
"Les déchets des cafés s'accumulent sur les trottoirs d'Avenue de France.",DECHETS
"Un fonctionnaire exige des frais supplémentaires pour traiter ma demande de visa.",CORRUPTION
"Les travaux du tramway ont laissé la chaussée dans un état déplorable.",VOIRIE
"Des fuites d'eau persistantes sur la voie publique près de la mosquée.",AUTRES
"Une tentative de vol avec violence a eu lieu près de la station de tramway Hassan.",AGRESSION
"Des déchets alimentaires attirent les rongeurs près du marché d'Agdal.",DECHETS
"Un agent immobilier municipal demande un pourcentage illégal pour l'enregistrement.",CORRUPTION
"La route est dangereusement glissante devant l'hôpital Moulay Youssef.",VOIRIE
"Des panneaux publicitaires instables menacent de tomber en cas de vent fort.",AUTRES
"Des agressions verbales contre le personnel du tramway par des jeunes.",AGRESSION
"Les poubelles débordent autour du stade municipal après le match.",DECHETS
"Un professeur à l'université demande de l'argent pour faire passer les examens.",CORRUPTION
"Les bordures de trottoir sont arrachées rendant la marche dangereuse.",VOIRIE
"Des nuisances olfactives proviennent des restaurants sans extraction adéquate.",AUTRES
"Des bagarres entre supporters ont éclaté près du stade Moulay Hassan.",AGRESSION
"Des déchets de construction bloquent l'accès piétonnier au tramway.",DECHETS
"Un employé administratif exige un paiement pour retrouver mon dossier 'perdu'.",CORRUPTION
"Le passage souterrain est inondé après chaque pluie près de la gare.",VOIRIE
"Les antennes de téléphonie mobile installées sans autorisation inquiètent les riverains.",AUTRES
"Des vols de motos se multiplient dans le quartier d'Agdal.",AGRESSION
"Des déchets plastiques polluent le jardin public près de l'école primaire.",DECHETS
"Un inspecteur du travail demande un pot-de-vin pour ne pas sanctionner mon entreprise.",CORRUPTION
"La signalisation horizontale est complètement effacée au carrefour principal.",VOIRIE
"Des câbles électriques pendent dangereusement bas sur l'avenue Mohammed V.",AUTRES
"Un étudiant a été racketté à la sortie du campus universitaire.",AGRESSION
"Des déchets encombrants bloquent l'accès aux garages des résidences.",DECHETS
"Un agent municipal réclame un bakchich pour délivrer mon certificat.",CORRUPTION
"Un affaissement dangereux de la chaussée s'est formé devant l'école.",VOIRIE
"Des ondes électromagnétiques suspectes proviennent de l'antenne près du lycée.",AUTRES
"Des gravats de construction obstruent la voie publique.",DECHETS  
"Un tas de débris de chantier bloque le trottoir.",DECHETS  
"Un élu local promet des avantages en échange de soutien politique.",CORRUPTION  
"Un fonctionnaire conditionne un service à un don.",CORRUPTION  
